time,lux,plot
11:00,35983.20667,controls
11:10,18669.02,controls
11:20,27992.03667,controls
11:30,50449.96,controls
11:40,32596.13667,controls
11:50,9403.406667,controls
12:00,18927.35,controls
12:10,32619.1,controls
12:20,32332.07,controls
12:30,17451.96667,controls
12:40,20058.28667,controls
12:50,32538.73667,controls
13:00,37544.68667,controls
13:10,33020.96,controls
13:20,19409.57,controls
13:30,28210.17667,controls
13:40,5677.633333,controls
13:50,4977.253333,controls
14:00,5671.876667,controls
14:10,21091.62333,controls
14:20,13881.20333,controls
14:30,11538.97333,controls
14:40,18069.1,controls
14:50,5970.4,controls
15:00,5602.983333,controls
15:10,8450.423333,controls
15:20,19403.82,controls
15:30,4417.516667,controls
15:40,4796.416667,controls
15:50,9457.926667,controls
11:00,4023.565,small
11:10,2794.325,small
11:20,4395.99,small
11:30,7973.93,small
11:40,5476.7,small
11:50,1639.87,small
12:00,3082.795,small
12:10,4835.18,small
12:20,5123.645,small
12:30,2716.83,small
12:40,3259.335,small
12:50,5941.72,small
13:00,6359.345,small
13:10,5946.01,small
13:20,3013.915,small
13:30,5001.48,small
13:40,1101.15,small
13:50,949.365,small
14:00,1157.12,small
14:10,4645.72,small
14:20,3026.815,small
14:30,2389.055,small
14:40,2742.12,small
14:50,1187.805,small
15:00,941.32,small
15:10,1281.99,small
15:20,4153.265,small
15:30,665.21,small
15:40,819.675,small
15:50,2318.015,small
11:00,2507.286667,large
11:10,1673.073333,large
11:20,2574.743333,large
11:30,4753.363333,large
11:40,3335.39,large
11:50,913.8566667,large
12:00,1846.023333,large
12:10,3215.196667,large
12:20,3128.366667,large
12:30,1708.233333,large
12:40,1962.273333,large
12:50,3605.21,large
13:00,3967.243333,large
13:10,3853.133333,large
13:20,1647.236667,large
13:30,2867.873333,large
13:40,595.9666667,large
13:50,512.37,large
14:00,624.32,large
14:10,2614.21,large
14:20,1478.26,large
14:30,1207.36,large
14:40,1580.513333,large
14:50,594.8933333,large
15:00,536.76,large
15:10,828.1,large
15:20,2335.776667,large
15:30,449.9333333,large
15:40,486.9,large
15:50,1202.693333,large
