sample,plot.id,yield,time,name
lo-4-c1,control ,0.585,week 1,4c1
lo-4-c2,control ,0.535,week 1,4c2
lo-4-c3,control ,0.433,week 1,4c3
lo-9-c1,control ,0.672,week 1,9c1
lo-9-c2,control ,0.637,week 1,9c2
lo-9-c3,control ,0.632,week 1,9c3
lo-4-c1,control ,0.617,week 2,4c1
lo-4-c2,control ,0.532,week 2,4c2
lo-4-c3,control ,0.506,week 2,4c3
lo-9-c1,control ,0.58,week 2,9c1
lo-9-c2,control ,0.639,week 2,9c2
lo-9-c3,control ,0.556,week 2,9c3
lo-4-c1,control ,0.524,week 3,4c1
lo-4-c2,control ,0.62,week 3,4c2
lo-4-c3,control ,0.58,week 3,4c3
lo-9-c1,control ,0.67,week 3,9c1
lo-9-c2,control ,0.701,week 3,9c2
lo-9-c3,control ,0.527,week 3,9c3
lo-4-c1,control ,0.652,week 4,4c1
lo-4-c2,control ,0.718,week 4,4c2
lo-4-c3,control ,0.613,week 4,4c3
lo-9-c1,control ,0.698,week 4,9c1
lo-9-c2,control ,0.665,week 4,9c2
lo-9-c3,control ,0.604,week 4,9c3
lo-4-c1,control ,0.676,week 5,4c1
lo-4-c2,control ,0.619,week 5,4c2
lo-4-c3,control ,0.571,week 5,4c3
lo-9-c1,control ,0.719,week 5,9c1
lo-9-c2,control ,0.687,week 5,9c2
lo-9-c3,control ,0.672,week 5,9c3
lo-4-c1,control ,0.561,week 6,4c1
lo-4-c2,control ,0.572,week 6,4c2
lo-4-c3,control ,0.606,week 6,4c3
lo-9-c1,control ,0.646,week 6,9c1
lo-9-c2,control ,0.388,week 6,9c2
lo-9-c3,control ,0.607,week 6,9c3
lo-4-c1,control ,0.617,week 7,4c1
lo-4-c2,control ,0.606,week 7,4c2
lo-4-c3,control ,0.606,week 7,4c3
lo-9-c1,control ,0.692,week 7,9c1
lo-9-c2,control ,0.642,week 7,9c2
lo-9-c3,control ,0.658,week 7,9c3
lo-4-1,shaded 4,0.636,week 1,4s1
lo-4-2,shaded 4,0.668,week 1,4s2
lo-4-3,shaded 4,0.671,week 1,4s3
lo-4-4,shaded 4,0.671,week 1,4s4
lo-4-5,shaded 4,0.592,week 1,4s5
lo-4-1,shaded 4,0.737,week 2,4s1
lo-4-2,shaded 4,0.628,week 2,4s2
lo-4-3,shaded 4,0.631,week 2,4s3
lo-4-4,shaded 4,0.723,week 2,4s4
lo-4-5,shaded 4,0.596,week 2,4s5
lo-4-1,shaded 4,0.682,week 3,4s1
lo-4-2,shaded 4,0.682,week 3,4s2
lo-4-3,shaded 4,0.661,week 3,4s3
lo-4-4,shaded 4,0.674,week 3,4s4
lo-4-5,shaded 4,0.678,week 3,4s5
lo-4-1,shaded 4,0.736,week 4,4s1
lo-4-2,shaded 4,0.703,week 4,4s2
lo-4-3,shaded 4,0.69,week 4,4s3
lo-4-4,shaded 4,0.703,week 4,4s4
lo-4-5,shaded 4,0.692,week 4,4s5
lo-4-1,shaded 4,0.453,week 5,4s1
lo-4-2,shaded 4,0.581,week 5,4s2
lo-4-3,shaded 4,0.597,week 5,4s3
lo-4-4,shaded 4,0.537,week 5,4s4
lo-4-5,shaded 4,0.603,week 5,4s5
lo-4-1,shaded 4,0.542,week 6,4s1
lo-4-2,shaded 4,0.622,week 6,4s2
lo-4-3,shaded 4,0.567,week 6,4s3
lo-4-4,shaded 4,0.562,week 6,4s4
lo-4-5,shaded 4,0.492,week 6,4s5
lo-4-1,shaded 4,0.543,week 7,4s1
lo-4-2,shaded 4,0.569,week 7,4s2
lo-4-3,shaded 4,0.68,week 7,4s3
lo-4-4,shaded 4,0.628,week 7,4s4
lo-4-5,shaded 4,0.529,week 7,4s5
lo-9-1,shaded 9,0.725,week 1,9s1
lo-9-2,shaded 9,0.73,week 1,9s2
lo-9-3,shaded 9,0.688,week 1,9s3
lo-9-4,shaded 9,0.663,week 1,9s4
lo-9-5,shaded 9,0.71,week 1,9s5
lo-9-1,shaded 9,0.674,week 2,9s1
lo-9-2,shaded 9,0.632,week 2,9s2
lo-9-3,shaded 9,0.718,week 2,9s3
lo-9-4,shaded 9,0.721,week 2,9s4
lo-9-5,shaded 9,0.71,week 2,9s5
lo-9-1,shaded 9,0.731,week 3,9s1
lo-9-2,shaded 9,0.711,week 3,9s2
lo-9-3,shaded 9,0.711,week 3,9s3
lo-9-4,shaded 9,0.663,week 3,9s4
lo-9-5,shaded 9,0.759,week 3,9s5
lo-9-1,shaded 9,0.754,week 4,9s1
lo-9-2,shaded 9,0.698,week 4,9s2
lo-9-3,shaded 9,0.652,week 4,9s3
lo-9-4,shaded 9,0.68,week 4,9s4
lo-9-5,shaded 9,0.722,week 4,9s5
lo-9-1,shaded 9,0.446,week 5,9s1
lo-9-2,shaded 9,0.533,week 5,9s2
lo-9-3,shaded 9,0.532,week 5,9s3
lo-9-4,shaded 9,0.603,week 5,9s4
lo-9-5,shaded 9,0.381,week 5,9s5
lo-9-1,shaded 9,0.661,week 6,9s1
lo-9-2,shaded 9,0.629,week 6,9s2
lo-9-3,shaded 9,0.443,week 6,9s3
lo-9-4,shaded 9,0.533,week 6,9s4
lo-9-5,shaded 9,0.573,week 6,9s5
lo-9-1,shaded 9,0.521,week 7,9s1
lo-9-2,shaded 9,0.631,week 7,9s2
lo-9-3,shaded 9,0.613,week 7,9s3
lo-9-4,shaded 9,0.676,week 7,9s4
lo-9-5,shaded 9,0.605,week 7,9s5
